Time:by and by,on time,from time to time,now,date,year,day,after,then,now and then
Law:case,open case,power,control,government,profile,high profile,previous,long hours,department,property,community property,quality,private,action
Biology:system,order,community,control,human,feedback,memory,question,energy,cell
Driving:map,one way,car,sign,insurance,street,street sign,park,road,red light
Communicate:contact,message,phone,text,call,talk,chat,express,ring,speak
Happiness:women,open,sports,security,place,location,children,love,money,content,movies,food,men,best friend,play
Container:can,case,box,glass,bin,basket,bag,paper bag,pocket,plastic bag
Algorithm:list,set,link,model,performance,language,key,range,child,head
Gaming:order,map,game,level,class,team,action,model,player,points
3D Graphics:group,map,text,image,point,join,model,body,light,color
Corporate:address,community,technology,network,content,customer,value,source,process,table,market,action,model,human,application
Post Office:mail,address,personal mail,return address,insurance,post card,post office box,air mail,picture post car,zip code
Algorithms:online,best,local,complete,average,simple,active,mean,lower,mode
Data Structure:list,set,map,image,table,field,record,union,tree,bin
Place:school,book store,post office,house,department store,library,office building,bank,church,fire department
Time:before,for a long time,today,computer,during,many times,digital,week,last week,days of the week,second,never,night,always,month
Education:school,education,part time job,special training,off job training,in job training,student,day student,social activities,major
City:store,post office,car,department store,street,street sign,park,road,building,street light
Mathematics:power,computer,change,rate,form,value,process,point,join,model,second,test,application,standard system,problem
Airport:way out,post office,public phone,check in,security check,body check,bank,personal effects,cash,bar
Spring:May,June,March,April,green,weather,season,flowers,baby animals,born
Business:return,department,description,reply,customer,provide,process,stock,join,sales,market,industry,plan,feedback,complete
Telephone:area code,house phone,white pages,international call,local call,credit card call,mobile phone,listed number,cell phone,conference call
Room:office,hotel room,control room,game room,great room,family room,library,study,staff room,keep
Filmmaking:music,set,stock,test,key,light,film,director,sound,camera
Energy:work,power,current,industry,light,sun,energy,green,green energy,human powered
Bank:check,account,money,save,customer,credit,credit card,pay,interest,bill
Holiday:May Day,January,December,Canada Day,party,World Environment Day,calendar,holiday,King,Christmas
Astronomy:day,local group,black body,light year,star,north star,space,sun,energy,double star
School:change,students,events,private,college,community college,food,learn,science,English,library,world series,test,play,student,performance,language,paper,girls,question
Leisure Activity:travel,art,shopping,card games,working,visit a park,poker,learning a language,track,track and field
Water:well,water well,source,course,water table,body of water,run,island,sound,lake
Halloween:web,black,October,party,night,death,make believe,fall,blood,dark
Hotel:check in,shop,room service,room number,hotel register,tax,room key,single room,gift shop,living room
Roadway:way,place,street,one way street,road,county road,country road,back road,post road,service road
Summer:travel,visit,June,hot,July,play,park,August,sun,beach
Software:data,program,code,server,event,function,build,object,client,command
Character:free,simple,quick,kind,friendly,independent,happy,strong,creative,helpful
Typography:center,type,family,point,body,color,style,weight,copy,river
Building:government,shopping center,department store,quality,college,gallery,market,library,hot house,mobile home,school building,office building,light house,space,beach house
Science:data,research,control,energy,cell,weather,fact,volume,matter,physical science
Food:order,take out,water,main course,hot,fast,fire,oil,hot dog,menu
Color:black,white,off white,red,light,blue,light blue,baby blue,color,green
Radio:media,board,rating,level,play,share,format,log,edit,player
Physics:form,quality,value,training,science,action,second,study,performance,body,changes,light,space,energy,natural
Computer:save,source,open source,print,process,select,Windows,thread,gallery,table,action,server,application,comment,blog,login,memory,key,password,browse,event,enter,share,net,format
Grammar:subject,case,article,first person,second person,language,period,word,rules,question mark
Finance:value,sale,credit,select,note,market,cost,tax year,payment,quote,sell off,issue,interest,high interest,long term
Algebra:law,form,image,value,point,note,problem,range,analysis,space,interest,term,daily,statement,written
Size:long,big,small,little,large,short,average,wide,huge,medium
Construction:section,board,level,title,story,light,run,fall,survey,valley
Emotion:good,love,content,blue,sure,natural,simple,mean,cross,hope
Money Related:credit,credit card,estate,note,market,tax,payment,down payment,sell,pay,seller,interest,trade,bill,cheap
Kindness:real,open,quality,value,easy going,close,kind,friendly,happy,positive
Network:internet,address,link,server,error,domain,active,port,client,traffic
Pirate:map,Old World,course,trade,gold,beach,land,island,bad,silver
Measure:area,case,standard,light second,light year,hand,percent,unit,weight,bit
Newspaper:back page,box,TV guide,body,front page,lead story,editor,feature,extra,morning edition
Job Related:application,staff,street,working class,working day,working hours,working model,standard,experience,work experience,previous experience,create,single,age,pay,professional history,net,society,trade,association
Furniture:table,card table,game table,end table,work table,cart,light,island,screen,furniture
Shopping:department,customer,sale,credit,box,category,market,cart,payment,seller,purchase,discount,cash,owner,retail
Classroom:book,map,computer,white board,calendar,dictionary,chair,desk,clock,notebook
Camping:map,equipment,park,state park,national park,sun,natural,lake,nature,outside
Frequency:every now and then,every week,three times a week,never,a few times,every night,four times,always,every month,on the first of every month,once,once a year,once in a while,every two months,several times
Body:back,body,hand,head,cell,heart,face,blood,hair,feet
Bill:check book,account number,credit card,write a check,amount due,cash,overdue
Shape:full,line,point,star,heart,wide,round,sector,fat,flat
Catering:water,food,course,main course,equipment,environment,menu,glass,secure,kitchen
Virtue:good,care,love,hope,nice,focus,responsibility,trust,understanding,respect
Law:model,friend,against,equipment,legal,question,issue,court,professional,reports,agreement,common law,official,record,direct,federal,rules,unit,treatment,protection
Geography:street map,key,South America,North America,east,range,map making,Australia,beach,weather map,land,region,island,miles,sound
Personal Information:country,street,single,road,family status,id card,president,society,research society,association,director,district,weight,date of availability,health condition
Military:staff,party,range,war,major,star,hand,head,track,log,director,island,front,cover,unit
Sport:equipment,field,club,poker,major,run,long run,home run,net,track,track and field,field and track,player,weight,weight training
Weather:air,hot,light,space,sun,energy,cell,color,track,natural,weather map,environment,front,global,watch
Visual Arts:print,gallery,art gallery,model,mobile,create,paper,film,color,style,artist,primary color,glass,old master,abstract
Country:United States,Canada,China,France,Germany,India,United Kingdom,Japan,South Africa,Mexico
Beach:family,water,sun,beach,island,lake,bay,sea,sea star,ship
Baseball:equipment,park,field,center field,left field,right field,club,night game,run,line drive,third,base,short stop,score,win
Landform:source,point,range,beach,island,sound,rock,lake,bay,river
Business:payment,equipment,sell,experience,pay,result,offer,interest,share,delivery,environment,costs,present,bill,risk,production,choose,knowledge,receive,purchase
Job:guide,author,model,director,office girl,manager,printer,executive,editor,publisher
Examine:get through,test,study for,test paper,ID card,pass,grade,answer sheet,fail,examination
Music:play,key,browse,audio,event,major,cell,format,window,region,record,lyrics,step,bit,notes
Winter:January,December,February,log,fire,season,lake effect,winter,wind,ice
Mathematics:memory,single,example,question,range,analysis,interest,similar,net,common,average,record,finance,percent,function,unit,amount,weight,error,position
Christmas:party,red,star,cards,baby,gold,gifts,manager,holiday,season
Corporate:staff,language,experience,paper,issue,result,future,space,learning,central,direct,district,resource,material,global,practice,availability,regional,solution,capital
Creation:make,start,create,base,build,improve,develop,begin,produce,establish
Programming:make,code,link,release,run,step,build,develop,install,patch,generate,debug,execute,compile
Car:sports car,stock car,hard top,light,auto,gas powered,door,two door,four door,van
Tool:file,level,large level,poker,garden line,saw,square,portable power saw,wheel,pin
Clothes:top,shoes,jewelry,clothing,button,kit,ring,jersey,gear,fashion
Time:future,before hand,second hand,cell phone,once in a while,past,once upon a time,period,calendar,calendar year,early,present,long ago,many years ago,in a few minutes,usually,often,watch,half life,annual
Election:issues,party,term,president,third party,town meeting,choose,political,super Tuesday,win
3D Printing:support,model,step,printer,structure,bed,resolution,sheet,motor,concept
Vacation:photos,state park,national park,drive,beach,island,camera,video camera,lake,holiday,stay,port,tour,tour guide,leave
Farm:water,food,field,land,dog,feed,horse,animals,plant,farm
Sewing:design,join,thread,material,button,cut,fashion,pocket,pattern,binding
People Related:old,good looking,young,popular,middle class,responsible,friendly,happy,beautiful,poor
Finance:trade,common stock,gold,short term,planning,average,technical,record,federal,finance,percent,unit,bank,risk,low risk,points,quick,annual,practice,discount
School:learning,computers,president,friends,studies,social studies,language arts,planning,weather,technical school,records,calendar,word problems,reading,topics,words,construction paper,writing,french,shoes,activity,supplies,printer,organization,clothing
State:New York,Texas,Washington,California,Florida,Virginia,West Virginia,New Mexico,North Carolina,South Carolina
Happiness:never been better,working,girls,film,welcome,safety,friends,fun,reading,beauty,church,activity,mind,hope,fine,opportunities,nice,friendly,happy,wedding
Driving:do not enter sign,safety,green light,drive,test drive,auto,fast,construction,under construction,license,speed,oil,yellow light,turn,left turn
House:range,light,picture,sun room,garden,radio,living room,window,entry,furniture,foundation,bed,glass,hall,kitchen
Justice:community service,court,court case,cell,fine,trial,justice,defense,judge,lawyer
City Name:New York,London,Washington,Long Beach,Nice,Virginia Beach,Chicago,Mexico,Boston,Paris
Restaurant:server,tax,party,side order,well done,bill,manager,menu,glass,kitchen,charge,pop,fish,medium,restaurant
Continent:North America,South America,Australia,Europe,Africa,Asia,Antarctica
Look:view,check,look,scan,glance,glimpse,peek,stare,glare,peep,leer,squint
Valentine's Day:love,card,red,February,heart,rose,flower,sweet,chocolate,valentine
Computer:log,log out,close,database,window,document,function,error,receive,domain,domain name,World Wide Web,wireless,method,hardware,chat,html,bit,storage,copy,search engine,status bar,screen,printer,menu,zip,object,client,flash,flash drive
Physics:electronics,period,direct,sound,unit,weight,position,half life,basic,speed,force,engine,bar,apply,effect,volume,gas,statistics,structure,degree
Room:cell,green room,common room,living room,conference room,front room,weight room,entry,engine room,operating room,hall,kitchen,hospital room,guest room,morning room
Vegetable:market,daily,natural,nature,season,effect,selection,plant,variety,growing
Writing:copyright,journal,editor,agent,advance,canon,draft,editorial,proposal,hardcover
Biology:living,natural,weather,environment,resource,function,kingdom,growth,volume,division,statistics,structure,develop,skin,protein
Job Related:specific experience,direct,present address,works council,weight,registered,position,holiday,employment,full employment,part time employment,full time employment,double,apply,apply for job,effect,supply,union,trade union,rate per hour,skills,zip code,middle name,work contract,male
Movement:march,run,rock,speed,stay,turn,race,stand,skip,jump
Machine Learning:class,database,function,loss,decision,feature,prior,transfer,factor,accuracy
Birthday:event,child,friends,fun,present,toys,receive,package,wish,happy,thank you,born,birth,birth date,blow out
Geometry:similar,net,central,period,face,base,mean,degree,focus,regular,normal,surface,fixed,square,couple
Reading:learning,stories,mark,reading,knowledge,writing,growth,types,communication,unique,favorite,variety,peace,fiction,science fiction
3D Graphics:material,unit,camera,position,fire,death,speed,force,move,object,sample,hair,distance,pass,surface
Negative Feeling:different,left out,put down,lost,cut off,compared,forced,zero,kept out,mixed up
Mathematics:simple,quick,whole number,basic,method,practice,figure,base,mean,exchange,lines,effect,volume,solution,addition,division,object,length,statistics,mode,degree,multiple,distribution,survey,evidence
Vehicle:car,sports car,fire engine,police car,bus,tank,motorcycle,container truck,jeep,bicycle
Building:projects,bank,commercial,construction,church,fire department,bar,double wide,dog house,types,casino,airport,structure,inn,purpose,station,fire station,police station,gas station,hall
Military:watch,magazine,step,fire,base,force,Air Force,commission,engine,dog,military,leave,division,contract,win,glass,survey,secure,station,hospital
Day of Week:Friday,Monday,Sunday,Tuesday,Saturday,Thursday,Wednesday
Complexity:hard,easy,direct,clear,simple,basic,complex,plain,pure,obvious
Taste:hot,light,well done,strong,cool,medium,flat,sec,cold,fresh
Education:term,president,student council,social practice,courses taken,summer jobs,degree,physical activities,master,educational system,educational history,guest student,pass,vacation jobs,academic activities
Insurance:rate,value,agreement,agent,benefit,limit,audit,accident,asset,attachment
Set theory:set,member,class,union,limit,element,pair,universe,partition,complement,subset,tuple,cardinality,superset
Crime:legal,get away,police,police car,hold up,charge,rape,break out,break in,break the law
Fruit:date,apple,orange,blood orange,star fruit,fig,dragon fruit,passion fruit,cherry,lemon
Gardening:water,sell,cover,sort,plant,pick,mix,thin,spray,tie
Business:loss,brand,discount,increase,advertise,growth,commission,build,exchange,supply,lower,advice,decision,facilities,structure,fund,distribution,schedule,option,improve,budget,success,charge,opinion,output
Hotel:bill,manager,bar,double room,screen,money exchange,registration form,inn,single bed,double bed,telephone,extra bed,service charge,floor,morning call
Money Related:finance,bank,risk,loan,loss,discount,income,cash,exchange,mortgage,capital,investment,fund,budget,debt,rent,poor,economy,auction,sold
Geography:Europe,global,lake,political map,Africa,bay,river,capital,capital city,channel,degree,hill,valley,sea,sea level,Earth,Asia,mountain,mountain range,time zone
Algorithm:window,function,weight,sort,mean,union,mode,degree,cut,distance,tree,string,block,capacity,flow
Color:blue green,gold,yellow,yellow green,bay,silver,primary,brown,sea green,deep yellow,deep green,medium yellow,medium blue,dark,dark green
Law:license,base,data base,agency,force,commission,effect,selection,volume,fine,decision,first degree,reason,documents,police,deal,prior,evidence,connection,transfer,opportunity,basis,command,warning,authority
World:English,Sign Language,French,German,Japanese,Spanish,Russian,Italian,Irish,Greek
Material:paper,gold,silver,glass,metal,skin,wood,steel,leather,stone
Plant:garden,style,annual,bush,tree,entire,wood,stand,forest,palm
Leisure Activity:provide entertainment,drive,talk to a friend,watch tv,golf,tour,auto cross,football,race,road race,go to a museum,fishing,race walk,racing,dog racing
Energy:direct current,environment,oil,engine,power lines,gas,natural gas,potential energy,power station,power plant,battery,capacity,electric,clean energy,wind
Algebra:true,function,unit,engineering,discount,cross product,solution,addition,division,basis,distance,operation,useful,input,positive,theory,unknown,teacher,scale,stand for
Weather:clear,nature,force,regional,sun dog,lake effect,nice,summer,degree,fall,spring,earth science,impact,transfer,warning,cool,normal,indian summer,eye wall,winter
Biome:city,deep sea,forest,pack ice,ocean open sea,river delta,mixed forest,desert,woods,coastal river
Thought:know,think,plan,focus,reason,reflect,conclude,concentrate,ponder,speculate,contemplate,mull,meditate
Chemistry:energy,term,base,force,volume,charge,element,atom,acid,frequency
Finance:summary,growth,activity,income,commission,exchange rate,electronic,bid,investment,consumer,fund,distribution,industrial,deal,option,transfer,operation,enterprise,funds,fees,buying,default,debt,fixed,evaluation
Nationality:American,British,Canadian,Chinese,German,Australian,Russian,Italian,Greek,Swiss
Frequency:daily,every third day,usually,often,not often,very often,every Monday,every hour,four times an hour,almost never,almost always,quite often,sometimes,monthly,weekly,generally,frequently,nearly always,once in a blue moon,twice
Sport:golf,base,stop,auto cross,cross country,running,move,score,win,middle distance run,forward,fitness,football,pass,hit,pool,race,road race,target,playing
Quantity:every,few,several,either,none,increase,remove,lots of,reduce,grow,raise,numerous,extend,boost,decrease
Swimming:water,lake,turn,river,deep end,ocean,life guard,swimming pool,swimming lane,diving
Driving:right turn,stop,stop sign,miles per hour,gas,registration,police,hill,impact,warning,traffic,traffic light,traffic sign,pass,vehicle,rest stop,rest area,transportation,van pool,electric car
Graphics:group,clear,scale,fill,delete,zoom,replace,mask,stretch,extract
Music:engine,stop,bar,effect,volume,score,sample,channel,song,hold,cut,session,skin,rest,string,flat,scale,frame,clean,switch
Shoe:court shoes,golf shoes,track shoes,training shoes,beach shoes,running shoes,platform shoes,boat shoes,basketball shoes,dress shoes
Dance:one step,two step,country western,pop,dance,line dance,abstract dance,step dance,modern dance,square dance
Roadway:state road,access road,side road,drive,pass,surface road,dead end street,walk,avenue,bridge,route,toll road,secondary road,lane,circle
Car Parts:light,CD player,door,filter,battery,engine block,switch,gear,motor,joint
Mobile Phone:camera,wireless,bar,screen,exchange,band,contract,browser,voice,skin,coverage,touch,speaker,frequency,carrier
Yard:garden,land,bush,tree,pool,path,garden path,flower,flower garden,soil
Subject:reading,engineering,writing,French,statistics,band,physical education,medicine,German,literature,architecture,economics,home economics,physics,philosophy
School:names,middle,band,flash drive,flash cards,foreign language,outside,phones,late,fall,numbers,answer,physical education,teaching,football,multi purpose room,academic,help assistance,german,boys,awards,answers,subjects,understanding,classes,teacher,literature,spanish,secretary,individuals
Family:wed,make the bed,connection,wedding,family tree,son,son in law,mother,mother in law,senior,relations,trust,pop,partner,first born
Transportation:car,ship,horse,bus,boat,truck,train,swimming,jet,motorcycle
Time:later,later than,soon,season,hour,hour hand,summer,late,fall,spring,schedule,recently,century,morning,winter,hands,sometimes,zone,time zone,minute,minute hand,pocket watch,quarter hour,moment,yesterday
Accounting:statement,loan,cash,capital,contract,basis,budget,trust,debt,flow,balance,gain,cycle,shares,liability
Art:print,color,display,cast,mix,draw,paint,chip,exhibit,coat
Computer:button,text editor,browser,operating system,option,cut,transfer,command,interface,user interface,traffic,input,valid,output,processing,resolution,graphics,pop up,filter,string,virtual,virtual memory,host,web host,block,fixed,desktop,frame,social networking,path
Vacation:airport,foreign,inn,schedule,station,sea,ship,travel agent,vacation,vehicle,rest,transportation,red eye,pack,restaurant,trip,coast,museum,stand by,resort
Physics:matter,potential,focus,primary,hold,unique,navigation,impact,properties,distance,charge,resolution,rest,internal,pressure,external,theory,surface,capacity,electric,relationship,zone,flow,critical,laws
Summer:holiday,season,outside,summer,sea,flowers,vacation,rest,trip,road trip,fan,heat,rose,camp,baseball
Animal:dog,working dog,sea star,horse,fish,farm animals,cat,wild cat,wild dog,African wild cat
Mammal:human being,dog,horse,cat,African wild cat,mouse,bear,brown bear,black bear,gnu
Water:bay,river,port,channel,spring,sea,pool,flow,ice,black ice,fresh water,stream,creek,drop,water drop
Landform:bar,channel,spring,hill,valley,sea,pass,mountain,mountain pass,coast,ice field,stream,creek,falls,ocean
City:shop window,bank,station,police station,fire station,traffic island,traffic light,news stand,square,bus,bus stop,avenue,train,train station,parking meter
Weapon:club,fire,gas,morning star,stone,depth charge,mine,land mine,arms,gun
Metal and Alloy:gold,yellow gold,silver,lead,metal,steel,iron,stainless steel,mercury,platinum
Drink:water,wine,coffee,ice coffee,soft drink,tea,ice tea,green tea,milk,beer
Measure:volume,length,score,degree,feet,scale,cup,square,palm,stone,league,minute,foot,square foot,mass
Mathematics:properties,distance,assessment,operation,significant,rule,strategy,valid,testing,positive,abstract,greater than,programming,theory,variety,understanding,wrong,unknown,relationship,zone,scale,square,advance,difference,random,chance,determine,actual,root,square root
Personal Characteristic:able,active,responsible,independent,creative,dedicated,frank,sporting,learned,efficient
Law:traffic,agent,trial,opinion,responsibility,community relations,trust,assistance,reported,partner,mission,background check,character,battery,youth,dark side,civil,wrong,officer,unknown,full scale,helpful,chief,detail,justice,regulations,documentation,successful,situation,emergency
Emotion:kind,responsible,happy,safe,unique,cool,creative,critical,successful,patient,pain,cold,wild,powerful,sweet
Filmmaking:speed,double,score,editor,extra,agent,filter,reader,coverage,shot,assistant,credits,designer,operator,genre
Grammar:third person,edit,lower case,object,direct object,capital letter,active voice,communication,speech,parts of speech,paragraph,syntax,sentence,run on sentence,clause
Furniture:bed,baby bed,bed table,kitchen island,hall tree,hall stand,secretary,coffee table,four poster bed,waste basket,chair,easy chair,office chair,club chair,beach chair
Bathroom:water,medicine,scale,dry,bath,cleaning,mirror,shower,medicine cabinet,cotton balls
Food:feed,kitchen,wine,pop,protein,fish,apple,fat,restaurant,diet,coffee,ice,dates,orange,blood orange
Happiness:award,success,beautiful,flowers,animals,mother,teaching,responsibility,trust,vacation,boys,ability,father,peace,wife,giving gifts,holidays,religion,exercise,freedom,competition,improvement,acceptance,birth,funny
Book:magazine,chapter,half title page,contents,running head,edge,dictionary,paperback,joint,column,encyclopedia,hardcover,appendix,novel,jacket
House:wall,door,screen door,back door,front door,floor,pool,television,wood,studio,fan,frame,picture frame,light switch,coffee table,waste basket,chair,steps,column,counter
Corporate:lead,channel,idea,opportunity,interface,forward,strategy,senior,internal,surface,relationship,creative,benefit,chief,vision,architecture,task,platform,admin,improvement,procedure,leadership,chain,partnership,portal
Dog:service dog,water dog,working dog,police dog,wild dog,African wild dog,bird dog,toy dog,gun dogs,guard dog
Military:field hospital,ship,command,distance,charge,battery,block,officer,driver,peace,jack,frame,chief,installation,attention,advance,army,gear,ball,shot,bag,task force,pocket,defense,dog tags
Airport:money exchange,international airport,telephone,airport fee,restaurant,time difference,currency exchange,actual time,satellite,coffee shop,bus,car hire,domestic airport,duty free shop,ticket office
Algorithms:perfect,maximum,forward,abstract,internal,external,minimum,fixed,square,random,universal,extended,matching,null,reduced
Bank:loan,manager,cash,mortgage,foreign exchange,currency,foreign currency rate,joint account,savings,savings account,checking account,guard,security guard,deposit,time deposit account
Election:primary,open primary,independent,vote,popular vote,politics,count,congress,platform,campaign,election,general election,executive branch,negative ads,officials
Job Related:female,telephone number,improve,paid by the hour,perfect,extra pay,develop,vacation,proposed,target,break the record,evaluation,employee,vision,situation,scientific,graduate school,initial,premium,hearing,labor union,claims,serve,date of birth,profit,workshop,assembly line work,criminal record,personnel,promote
Collection:group,mass,draw,capture,collect,cluster,aggregate,gather,unite,herd
Baseball:spring training,sport,hit,block,farm team,hits,gear,ball,four ball,one ball,fast ball,ground ball,league,major league,Major League,National League,American League,diamond,walk,defense
Job:delivery boy,agent,station agent,artists,officer,teacher,secretary,chief of police,buyer,professor,doctor,merchant,developer,assistant,criminal
Radio:copy,hour,band,bed,feed,remote,programming,monitor,credits,gain,frequency,spot,engineer,broadcast,console
Building:city hall,meeting hall,hospital,housing project,multi story,plant,power plant,pool house,studio,restaurant,farm,museum,flat,architecture,bus station,nursing home,bridge,workshop,kinds,fort,assembly hall,nuclear power plant,laboratory,train station,residential
Weather:pressure,low pressure,air pressure,low pressure system,dark,fair,instruments,zone,scale,wind,emergency,emergency radio,temperature,satellite,weather satellite,ice,ice age,black ice,balance,cold,cold front,air mass,heat,heat index,quantity
Fire Fighting:search light,fire,fire department,fire chief,volunteer fire department,fire alarm box,smoke,fire escape,victim,oxygen mask
Business:develop,responsibility,consider,pack,goods,target,debt,instructions,remove,transport,employee,difference,accept,goal,install,count,permission,reduce,guarantee,competition,limit,prevent,improvement,suggest,avoid,manage,separate,reach,comparison,produce
Astronomy:free fall,space station,Earth,deep space,core,dark matter,satellite,phase,mass,variable star,gamma ray,rings,moon,new moon,quarter moon
Degree:Professional,Master,Transfer,certificate,Graduate,Doctor,Associate,Specialist,Undergraduate,Bachelor,diploma
Speed:fast,quick,late,express,instant,slow,immediate,rapid,prompt,swift
Camping:stars,animals,mountain,day pack,trip,path,gear,forest,fishing,camp,adventure,moon,trees,outdoors,cap
Sport:block,trip,World Cup,gear,jump,high jump,long jump,high skip and jump,ball,goal,ice,shot put,league,major league,fishing,exercise,diamond,walk,race walk,competition,defense,quarter,racing,car racing,dog racing
Design:style,logo,dark,scale,square,poster,column,depth,height,font,row,import,layer,proof,width
Science:watch glass,theory,scale,laws,motion,temperature,phase,mass,chemical,element,lab,variable,atom,measure,laboratory
Liquid:water,oil,blood,coffee,tea,cream,alcohol,milk,juice,soup,gasoline,grease,syrup
Monster and Mythical Beast:little people,spirit,lake spirit,phoenix,rain bird,angel,monster,sea monster,dragon,giant
Dentist:degree,medicine,patient,pain,root,shot,surgery,oral surgery,protect,lab,bridge,assistant,laboratory,acid,healthy
Metal:gold,silver,lead,steel,iron,mercury,platinum,copper,brass,aluminum
Automobile:car,van,truck,hybrid,jeep,taxi,convertible,wagon,coupe,sedan
Color:apple green,steel,steel blue,royal blue,forest green,coffee,pink,hot pink,baby pink,soft color,rose,french rose,orange,rich color,marine green,snow,snow white,golden yellow,acid blue,kelly green
Pirate:hold,ship,coast,gear,eye patch,merchant,challenge,attack,adventure,criminal,flag,ocean,explore,battle,fight
Family:youth,father,father in law,wife,parent,clean the house,clean the room,ex wife,Miss,walk the dog,birth mother,extended family,brother,half brother,brother in law,nuclear family,fix things,eligible,marriage,minor
Body:skin,eye,hands,eyes,red blood cells,white blood cells,palm,foot,ball of the foot,breast,brain,hip,arm,appendix,mouth
State:Ohio,Georgia,Michigan,Colorado,Illinois,Kansas,Arizona,Pennsylvania,Oregon,Minnesota,Indiana,Wisconsin,Hawaii,North Dakota,South Dakota
City Name:Jersey City,Goes,Los Angeles,San Francisco,Las Vegas,Kansas City,Saint Paul,Tours,Houston,Seattle,Fort Worth,Atlanta,San Diego,Hong Kong,Dallas
Construction:grade,vehicle,panel,core,frame,detail,square,joint,column,rise,circuit,hip,cap,plate,template
Education:academic year,educational background,teacher,head teacher,graduate,graduate student,professor,guest professor,doctor,excellent leader,lab assistant,research assistant,graduate assistant,teaching assistant,returned student,vice president,associate professor,fail,minor,department chairman
Driving:driver,dead end,road trip,coast,school zone,gear,emergency,road closed,bus,motor,fuel,speed limit,wide load,avenue,bridge,fill it up,parking lot,no parking,turn signal,handle,truck,truck stop,flat bed truck,truck route,back seat
Car:filter,off road vehicle,race car,electric car,gas electric,switch,motor,soft top,joint,sports utility vehicle,luxury car,wheel,four wheel drive,compact,transmission
Christmas:inn,traffic,vacation,Mary,Lord,spirit,birth,Jesus,festival,Joseph,Christ Child,turkey,Prince of Peace,holy,babe
Beach:vacation,rest,fish,trip,coast,palm tree,fishing,weekend,boat,ocean,cape,ice cream,soft serve ice cream,salt water,hat
Physics:applied,motion,temperature,scientific,closed,balance,league,phase,foot,mass,heat,chemical,component,flight,factor,quantity,universal,solid,branch,chain,inch,movement,variable,electrical,laser,direction,objects,nuclear,atom,binding
Visual Arts:medium,wood,visual,museum,scale,frame,installation,stone,poster,architecture,bridge,printing,screen printing,graphic design,portfolio,secondary color,ink,mixed media,wheel,color wheel
Biology:fish,pressure,host,zone,species,root,balance,waste,factor,essential,marine,branch,virus,food chain,flower,life cycle,dna,stress,evolution,portion
Ocean:sea,sea star,fish,marine life,ray,ocean,bass,sea bass,salt water,marine biology
