Degree:degree,master,certificate,doctor,bachelor,diploma
Mineral:emerald,quartz,graphite,agate,bismuth,halite
Salad Dressing:oil and vinegar,house dressing,blue cheese,thousand island,French dressing,ranch,vinegar
Bill:write a check,account number,check book,credit card,amount due,cash,overdue
Continent:South America,North America,Australia,Europe,Africa,Asia,Antarctica
Day of Week:Friday,Monday,Sunday,Tuesday,Saturday,Thursday,Wednesday
Money:bill,quarter,dollar,cent,coin,penny,nickel,dime
Storage:bureau,cabinet,chest,buffet,bookshelf,bookcase,sideboard,credenza
Luggage:carry on bag,makeup case,tote bag,garment bag,duffle bag,luggage carrier,trunk,suitcase,knapsack
New Year:January,December,party,calendar,holiday,resolution,midnight,celebrate,countdown
Football:end,middle guard,guard,tackle,quarterback,linebacker,cornerback,fullback,halfback
Headgear:baseball cat,cap,hat,ear muffs,helmet,scarf,bandana,beret,hardhat
Linguistics:regular,marked,descriptive,taxonomic,figurative,generative,unproductive,diachronic,synchronic
Harbor:ship,dock,crane,lighthouse,wharf,buoy,shipyard,breakwater,tugboat
Christmas:Prince of Peace,party,red,family reunion,star,cards,baby,white sauce,green,gold
Web:page,search,view,click,post,message,send,type,area,link
Computer:search,help,click,find,name,data,number,software,line,type
Test:study for,take an exam,get through,test,ID card,test paper,pass,answer sheet,grade,fail
Weapon:bow and arrow,club,land mine,hand grenade,stone,gun,tank,nuclear bomb,knife,bomb
Tool:trap and drain auger,file,garden line,large level,open end wrench,post hole digger,box end wrench,small hand cultivator,portable power saw,small wrecking bar
Fire Fighting:hook and ladder truck,search light,fire department,volunteer fire department,fire alarm box,fire,fire chief,fire escape,fire extinguisher,fire hydrant
Baseball:home team,home plate,one ball,strike one,tag out,strike out,day game,first baseman,strike two,two balls
Military:can,state,music,post,part,line,file,section,house,guide
Book:page number,title page,half title page,copyright,book,best seller,index,picture book,reference book,text
City Name:new york,new orleans,new delhi,jersey city,kansas city,oklahoma city,long beach,london,washington,north las vegas
Dinnerware:gravy boat and stand,water pitcher,cup,tea cup,fish platter,serving bowl,coffee mug,sugar bowl,salad plate,soup bowl
Business:buy,product,add,support,message,order,report,send,check,own
Music:time,click,send,right,take,control,property,card,left,note
Time:date,year,day,after,before,today,computer,during,digital,cell phone
Shopping:service,price,product,store,check,total,shop,directory,return,account
Subject:home economics,health,music,world geography,law,history,art,computer science,science,English
Algorithms:free,online,best,local,complete,average,simple,active,mean,lower
Building:school,post office,university,book store,hotel,store,department store,school building,house,office building
Physics:free,work,open,power,current,second,body,energy,natural,period
Geometry:web,center,line,right,type,area,form,point,model,range
Age:new,current,old,advanced,recent,young,mature,modern,fresh,vintage
Dessert:pie a la mode,chocolate bar,ice cream,sweet roll,apple pie,birthday cake,fruit,sweet rolls,chocolate cake,chocolate chip cookie
Phones:number,message,store,area,phone,game,download,text,digital,application
Geography:world,city,map,area,south,north,country,source,west,key
Post Office:mail,post card,post office box,personal mail,address,picture post car,air mail,return address,insurance,sea mail
Month:May,January,December,June,October,November,March,September,July,April
3D Graphics:world,group,map,life,text,image,point,join,model,body
Downtown:garbage can,news stand,car,department store,street sign,shop window,street light,neon sign,traffic light,traffic island
Accounting:price,book,report,change,account,stock,plan,cost,paper,interest
History:time,date,history,age,journal,archive,calendar,culture,classic,century
School:high school,university,office,junior high school,technical school,graduate school,elementary school,college,library,student
Telephone:area code,listed number,international call,house phone,local call,white pages,mobile phone,recorded message,telephone book,unlisted number
Place:school,post office,book store,department store,house,office building,library,convenience store,fire department,barber shop
Travel:date,city,hotel,travel,rate,class,space,conference,transfer,agent
Newspaper:back page,front page,TV guide,newspaper office,lead story,morning edition,evening edition,editor,feature,extra
Number:one,two,three,four,five,six,ten,seven,eight,nine
Design:line,type,design,file,guide,value,print,point,register,space
Communicate:contact,message,phone,text,call,talk,chat,express,ring,speak
Bank:time deposit account,check,account,money,save,customer,credit card,credit,pay,security guard
Algorithm:list,set,link,model,performance,language,key,range,child,head
Gaming:order,map,game,level,class,team,action,model,player,points
Container:can,case,box,glass,bin,basket,bag,pocket,plate,carrier
Manupulation:add,order,file,place,change,create,put,edit,sort,turn
Data Structure:list,set,map,image,table,field,record,union,tree,bin
Startup:user,design,content,customer,team,market,model,plan,mobile,space
Construction:post,section,board,level,title,course,story,light,run,fall
Real Estate:use,index,title,interest,term,lot,mortgage,taking,contract,survey
Filmmaking:music,set,stock,test,key,light,film,director,sound,camera
Software:data,program,code,server,event,function,build,object,client,command
Typography:center,type,family,point,body,color,style,en,weight,copy
Character:free,simple,quick,kind,friendly,independent,happy,strong,creative,helpful
Radio:media,board,rating,level,play,share,radio,format,log,edit
Country:United States,United Kingdom,Canada,South Africa,South Korea,China,North Korea,France,Germany,India
City:post office,store,street,park,road,building,bank,fire station,police station,station
Size:long,big,small,little,large,short,average,wide,huge,medium
Programming:make,code,link,release,run,step,build,develop,install,patch
Classroom:book,map,computer,white board,bulletin board,calendar,dictionary,chair,desk,clock
Network:internet,address,link,server,error,domain,active,port,client,traffic
Color:black,white,red,light blue,blue,green,gold,yellow green,yellow,silver
Catering:water,main course,food,course,equipment,dining room,environment,menu,glass,secure
Body:back,body,hand,head,heart,face,blood,hair,feet,skin
Teeth:first molar,first premolar,back teeth,second molar,second premolar,baby teeth,central incisor,front teeth,adult teeth,third molar
Weather:great,air,hot,light,sun,weather,clear,nice,degree,cool
Halloween:trick or treat,October,black cat,ghost,candy,costume,bat,witch,vampire,pumpkin
Education:school,education,student,president,graduate student,head teacher,vice president,teacher,graduate assistant,lab assistant
Restaurant:order,check,water,bill,menu,cup,coffee,breakfast,drink,tea
People Related:good looking,old,young,middle class,popular,responsible,friendly,happy,beautiful,poor
Justice:community service,court case,court,cell,fine,trial,death penalty,justice,capital punishment,defense
Linear Algebra:map,form,image,space,function,basis,column,flag,row,matrix
Creation:make,start,create,base,build,improve,develop,begin,produce,establish
Look:view,check,look,scan,glance,glimpse,peek,stare,glare,peep
Swimming:water,life guard,deep end,shallow end,diving board,lake,turn,river,dog paddle,swimming pool
Shoe and Footwear:work boots,T strap shoes,high heel shoes,training shoes,golf shoes,shoes,basketball shoes,dress shoes,tennis shoes,casual shoes
Stationery:book ends,appointment book,paper,rotary file,filing box,paper clips,paper punch,expanding files,letter scales,letter opener
3D Printing:support,model,step,printer,structure,bed,resolution,sheet,motor,concept
Set theory:set,member,class,union,limit,element,pair,universe,partition,complement
Water:source,run,island,sound,lake,bay,river,port,channel,spring
Vehicle:car,sports car,police car,fire engine,road grader,bus,container truck,tank,dump truck,crane truck
Smoking:non smoking section,tax,legal age,smoking section,non smoker,package,light smoker,filter,lung cancer,vending machine
Valentine's Day:love,card,red,February,heart,rose,flower,sweet,chocolate,valentine
Angle:point,straight line,right angle,curved line,zigzag line,parallel lines,straight angle,corresponding angle,opposite angle,acute angle
Thought:know,think,plan,focus,reason,reflect,conclude,concentrate,ponder,speculate
Cooking:can opener,paper towels,heat,measuring cup,rolling pin,mixing bowl,burn,knife,steam,grill
Sports:board,save,stop,score,pass,hit,block,trip,jump,fight
Writing:copyright,journal,editor,agent,advance,canon,draft,editorial,proposal,hardcover
Shape:full,star,wide,round,fat,flat,square,solid,straight,compact
Art:design,print,color,display,cast,mix,draw,paint,chip,exhibit
Movement:march,run,rock,speed,stay,turn,race,stand,skip,jump
Machine Learning:class,database,function,loss,decision,feature,prior,transfer,factor,accuracy
Food:water,food,oil,kitchen,wine,fish,coffee,ice,roll,drink
Car Parts:CD player,light,air cleaner,gasoline level gauge,front seat,engine block,sun visor,turn signal,door,license plate
Complexity:hard,easy,direct,clear,simple,basic,complex,plain,pure,obvious
Insurance:rate,value,agreement,agent,benefit,limit,audit,accident,asset,attachment
Gardening:water,sell,cover,sort,plant,pick,mix,thin,spray,tie
Material:paper,gold,silver,glass,metal,skin,wood,steel,leather,stone
Motorcycle:back tire,engine,tail light,turn signal,front tire,gas tank,chain,gear shift,seat,disk brake
Driving:road,drive,turn,stop,hill,pass,coast,avenue,bridge,handle
Chemistry:energy,term,base,force,volume,charge,element,atom,acid,frequency
Adverb:never,almost never,almost,simply,recently,hardly ever,sometimes,generally,frequently,nearly
Fruit:date,apple,orange,fig,cherry,lemon,berry,blackberry,banana,lime
Nationality:American,British,Canadian,Chinese,German,Australian,Russian,Italian,Greek,Swiss
Grphics:group,clear,scale,fill,delete,zoom,replace,mask,stretch,extract
Transportation:car,ship,horse,bus,passenger ship,boat,truck,train,swimming,jet
Job:author,printer,editor,teacher,fire fighter,professor,doctor,criminal,judge,lawyer
Drink:water,green tea,wine,coffee,ice coffee,ice tea,soft drink,tea,orange juice,milk
Hair:black hair,red hair,brown hair,straight hair,gray hair,auburn hair,blond hair,kinky hair,curly hair,wavy hair
Corporate job:director,manager,executive,agent,officer,buyer,developer,assistant,associate,designer
Liquid:water,oil,blood,coffee,tea,cream,alcohol,milk,juice,soup
Furniture:table,baby bed,bed,hall stand,chair,desk,seat,cabinet,lamp,chest
Clothes:T shirt,shoes,shirt,mini skirt,dress,cap,hat,sweat shirt,suit,boots
Plants:garden,bush,tree,wood,forest,palm,root,flower,fruit,seed
Winter:December,season,winter,ice,cold,Merry Christmas,hat,boots,coat,candle
Wood Burning Stove:poker,air inlet control,log carrier,log tongs,loading door,chimney pipe,trim collar,flue pipe,chimney pipe elbow,ash lid
Refrigerator:thermostat control,glass cover,storage door,fan,switch,handle,freezer door,ice cube tray,drain pan,shelf
Car:light,door,filter,switch,motor,joint,wheel,transmission,converter,mirror
Collection:group,mass,draw,capture,collect,cluster,aggregate,gather,unite,herd
Beef:T bone,short ribs,chuck short rib,cross rib,rib eye,plate,neck,wing,sirloin tip,shoulder
Speed:fast,quick,late,express,instant,slow,immediate,rapid,prompt,swift
Bread:white bread,English muffins,hard rolls,brown bread,coffee cake,sweet rolls,cookies,cake,corn bread,cheese sticks
Metal:gold,silver,lead,steel,iron,mercury,platinum,copper,brass,aluminum
Vegetable:water cress,green pepper,green beans,green onion,Chinese cabbage,Japanese radish,snow peas,sweet potato,broad beans,corn
Automobile:car,van,truck,hybrid,jeep,taxi,convertible,wagon,coupe,sedan
Animal:dog,horse,fish,cat,bear,bird,fly,turkey,fox,chicken
Punctuation Marks:question mark,period,exclamation point,single quotation marks,quotation marks,dash,colon,brackets,asterisk,slash
Gasoline Engine:air filter,engine block,oil pan,oil drain hole,spark plug cable,fan belt,cooling fan,gasoline pump,distributor,starter
Hospital:security guard,medical technician,patient,doctor,specialist,visitor,physician,nurse,surgeon,psychiatrist
Meat:hot dog,heart,chicken breast,turkey,chicken,chicken leg,chicken wing,buffalo,beef,tongue
Predator:human,monitor,ray,bear,fox,python,eagle,tiger,wolf,lion
Apex Predators:human,monitor,ray,bear,fox,python,eagle,tiger,wolf,lion
Head:head,bald head,eye,lower jaw,mouth,upper jaw,temple,ear,nose,tongue
Appearance:light,dark,flat,clean,bright,burning,brilliant,sunny,worn,pale
Olympic:table tennis,football,baseball,basketball,modern pentathlon,tennis,hockey,shooting,athletics,cycling
Emotions:cross,kind,happy,cold,crazy,mad,glad,sad,afraid,excited
Injury:black eye,sun burn,cut,broken bone,burn,scratch,lump,fracture,swelling,splinter
Men's Clothes:button down collar,V necked sweater,shirt,sport coat,belt,pants,suit coat,crew neck sweater,bow tie,socks
Bicycle:air valve,front brake,front tire,chain,chain guard,rear brake,rear tire,tire pump,baggage carrier,spoke
Instruments:drum set,tom tom,steel drums,bass drum,drum,ride cymbal,bell lyre,orchestra bells,tenor drum,crash cymbals
Temperature:hot,cool,cold,warm,burning,chill,freezing,icy,molten,frosty
Pet:dog,horse,cat,tropical fish,bird,chicken,monkey,rabbit,snake,pigeon
Astronomy:energy,core,mass,density,dust,fusion,omega,electron,radius,gravity
Dental Care:gum line,cup,root canal,dental surgeon,smile,breath,teeth,filling,tooth fairy,erosion
Building Material:particle board,wood,floor tile,metal lath,wood shingle,ceiling tile,flooring,foam insulation,cement,fiberglass insulation
Hand:little finger,third finger,palm,middle finger,nail,fore finger,fist,thumb,wrist,knuckle
Family:son,mother,father,brother,daughter,sister,uncle,aunt,cousin,grandmother
Fortification:keep,station,fort,tower,castle,canal,bunker,outpost,citadel,turret
Organ:small intestine,large intestine,appendix,hearts,liver,lung,stomach,gall bladder,pancreas,diaphragm
Dinner Table:glass,cup,salt,plate,sugar,bowl,dish,knife,pepper,salad
Infrastructure:road,wall,bridge,dam,tunnel,canal,levee,aqueduct,viaduct,skyway
Thanksgiving:thanks,native,turkey,dinner,sweet potato,corn,autumn,harvest,treaty,parade
Cowboy:brand,horse,gun,gun belt,cowboy hat,cowboy boots,ranch,bullet,rifle,saddle
Grain:long grain rice,short grain rice,brown rice,rice,corn,wheat,soy beans,barley,rye,oats
Word Ending in ful:beautiful,useful,helpful,powerful,careful,painful,harmful,awful,colorful,handful
Screen Writing:act,audience,actor,atmosphere,aside,actress,adaptation,antagonist,archetype,allegory
Gas:air,carbon dioxide,oxygen,carbon monoxide,hydrogen,nitrogen,neon,nitric oxide,propane,methane
Fruits:white grapefruit,orange,pink grapefruit,Mandarin orange,navel orange,lemon,lime,grapefruit,tangerine,kumquat
Chinese Calendar Sign:dog,horse,dragon,tiger,rat,monkey,rabbit,sheep,snake,pig
Cosmetic:body lotion,foundation,cream,soap,mask,perfume,fragrance,makeup,shampoo,lipstick
Sewing:safety pins,pattern,tape measure,buttons,pin cushion,tracing wheel,cloth,skirt marker,pins,magnet
Condiment:oil,salt,sweet pickle,sour cream,sauce,honey,butter,pepper,olive,onion
Fire:light,char,burn,bake,torch,toast,roast,melt,blaze,blister
Snake:Green Snake,King Cobra,Brown Snake,Python,Rat Snake,Coral Snake,Cobra,Viper,Boa,Rattlesnake
Seasoning:bay,salt,sugar,mint,pepper,lemon,sage,ginger,curry,soda
Bird:martin,turkey,chicken,rail,jay,eagle,duck,chick,hawk,swift
Instrument:double bass,French horn,bass drum,piano,recorder,triangle,snare drum,violin,flute,trumpet
Architecture:panel,column,tower,arcade,projection,arch,patio,terrace,pavilion,bracket
Measurement:foot,inch,meter,mile,yard,pound,ton,grams,gallon,ounces
Castle:wall,watch tower,knight,shield,sword,cannon,samurai,archer,dungeon,moat
Cheese:blue,swiss,brick,colby,romano,cheddar,parmesan,mozzarella,brie,feta
Destrcution:break,split,crack,crash,destroy,scratch,squash,crush,smash,melt
Cotton:jersey,oxford,terry,canvas,heather,fleece,velvet,denim,plaid,twill
Ghost:spirit,soul,angel,ghost,phantom,demon,specter,sprite,wraith,apparition
Materials of Clothes:leather,cotton,rubber,silk,wool,linen,denim,straw,suede,woolen
Makeup:liquid foundation,eye shadow,powder,powder puff,blush brush,brow brush,eyebrow pencil,lipstick,mascara,eyeliner
Taste:sweet,dry,plain,mild,bitter,sour,spicy,creamy,moist,tart
Pasta Type:stars,wheels,thin spaghetti,thin macaroni,alphabet,shells,spaghetti,elbow macaroni,bows,noodles
Fast Food:sub,frank,wrap,sandwich,burger,melt,philly,taco,clubhouse,slider
Imaginary People and Animal:spirit,phoenix,dragon,robot,vampire,mermaid,unicorn,snowman,Martian,capricorn
Kitchen Knife:kitchen knife,bread knife,butter knife,ham knife,steak knife,oyster knife,butcher knife,grapefruit knife,paring knife,boning knife
Wine:port,champagne,noir,burgundy,blanc,sherry,mead,cabernet,sauvignon,madeira
Sound:soft,quiet,silent,loud,gentle,piercing,noisy,faint,mute,roaring
Wood:oak,pine,cherry,maple,cedar,ash,walnut,bamboo,birch,mahogany
Fish:bass,sole,cod,salmon,shark,trout,tuna,carp,herring,marlin
Insect:fly,cricket,bee,butterfly,ant,tick,beetle,flea,mosquito,dragonfly
Fish and Things in Water:bass,cod,salmon,shark,trout,pike,shrimp,crab,lobster,tuna
Cat:tom,oriental,persian,ginger,bombay,bengal,siberian,burmese,himalayan,calico
Bug:fly,cricket,spider,bee,insects,mosquito,dragonfly,caterpillar,wasp,locust
Tree:oak,pine,maple,ash,willow,weeping willow,birch,spruce,beech,fir
Flower:rose,daisy,lily,iris,violet,orchid,jasmine,tulip,thistle,sunflower
Farm Machinery:disk harrow,seed drill,combine harvester,fertilizer distributor,tractor,rotary hoe,harrow,manure spreader,subsoil plow,ribbing plow
Japanese Words:anime,tsunami,samurai,sushi,karate,bonsai,judo,kamikaze,kendo,ikebana
Ache:infection,sore throat,fever,runny nose,headache,stomach ache,cough,chills,earache,backache
Underwear:slip,panties,bra,briefs,panty hose,tights,girdle,knickers,underpants,undershirt
Aircraft:jet,fighter,helicopter,jumbo,bomber,airbus,glider,tanker,airship,biplane
Criminal:spy,terrorist,thief,murderer,burglar,robber,vandal,smuggler,hijacker,mugger
Words Ending in less:nevertheless,homeless,endless,useless,restless,helpless,hopeless,fearless,careless,doubtless
Dog:terrier,boxer,retriever,hound,maltese,husky,pug,spaniel,rottweiler,beagle
Spirit:rum,brandy,vodka,scotch,gin,whisky,bourbon,tequila,cognac,liqueur
Ship:submarine,kayak,barge,tanker,galley,dugout,outrigger,gondola,rafts,hovercraft
Halloween:trick or treat,October,black cat,ghost,candy,costume,bat,witch,vampire,pumpkin,carve
Organ:small intestine,large intestine,appendix,hearts,liver,lung,stomach,gall bladder,pancreas,diaphragm,spleen
Infrastructure:road,wall,bridge,dam,tunnel,canal,levee,aqueduct,viaduct,skyway,cistern
Grain:long grain rice,short grain rice,brown rice,rice,corn,wheat,soy beans,barley,rye,oats,millet
Castle:wall,watch tower,knight,shield,sword,cannon,samurai,archer,dungeon,moat,drawbridge
Makeup:liquid foundation,eye shadow,powder,powder puff,blush brush,brow brush,eyebrow pencil,lipstick,mascara,eyeliner,eyelash curler
Japanese Words:anime,tsunami,samurai,sushi,karate,bonsai,judo,kamikaze,kendo,ikebana,zori
Month:May,January,December,June,October,November,March,September,July,April,August,February
Look:view,check,look,scan,glance,glimpse,peek,stare,glare,peep,leer,squint
Chinese Calendar Sign:dog,horse,dragon,tiger,rat,monkey,rabbit,sheep,snake,pig,ox,rooster
Kitchen Knife:kitchen knife,bread knife,butter knife,ham knife,steak knife,oyster knife,butcher knife,grapefruit knife,paring knife,boning knife,filleting knife,cleaver
Farm Machinery:disk harrow,seed drill,combine harvester,fertilizer distributor,tractor,rotary hoe,harrow,manure spreader,subsoil plow,ribbing plow,baler,cultivator
Family Related:do the laundry,make the bed,buy the groceries,clean the house,clean the room,pay the bills,walk the dog,take out garbage,fix things,iron clothes,cook dinner,wash dishes,babysit
Teeth:first molar,first premolar,back teeth,second molar,second premolar,baby teeth,central incisor,front teeth,adult teeth,third molar,wisdom teeth,canine,lateral incisor
Thought:know,think,plan,focus,reason,reflect,conclude,concentrate,ponder,speculate,contemplate,mull,meditate
Liquid:water,oil,blood,coffee,tea,cream,alcohol,milk,juice,soup,gasoline,grease,syrup
Pet:dog,horse,cat,tropical fish,bird,chicken,monkey,rabbit,snake,pigeon,carp,hamster,goldfish
Gas:air,carbon dioxide,oxygen,carbon monoxide,hydrogen,nitrogen,neon,nitric oxide,propane,methane,helium,butane,freon
Cosmetic:body lotion,foundation,cream,soap,mask,perfume,fragrance,makeup,shampoo,lipstick,deodorant,aftershave,eyeliner
Bug:fly,cricket,spider,bee,insects,mosquito,dragonfly,caterpillar,wasp,locust,grasshopper,cockroach,cicada
Place Related:to,outside of,next to,on top of,on,up,out,over,under,off,near,outside,towards,nearby
Programming:make,code,link,release,run,step,build,develop,install,patch,generate,debug,execute,compile
Angle:point,straight line,right angle,curved line,zigzag line,parallel lines,straight angle,corresponding angle,opposite angle,acute angle,complementary angle,equilateral sides,obtuse angle,spiral
Punctuation Marks:question mark,period,exclamation point,single quotation marks,quotation marks,dash,colon,brackets,asterisk,slash,comma,parentheses,semicolon,ellipses
Hospital:security guard,medical technician,patient,doctor,specialist,visitor,physician,nurse,surgeon,psychiatrist,pediatrician,ophthalmologist,dietician,anesthesiologist
Ghost:spirit,soul,angel,ghost,phantom,demon,specter,sprite,wraith,apparition,spook,poltergeist,ghoul,phantasm
Tree:oak,pine,maple,ash,willow,weeping willow,birch,spruce,beech,fir,sycamore,yew,conifer,larch
Valentine's Day:love,card,red,February,heart,rose,flower,sweet,chocolate,valentine,kiss,candy,arrow,hug,cupid
Gasoline Engine:air filter,engine block,oil pan,oil drain hole,spark plug cable,fan belt,cooling fan,gasoline pump,distributor,starter,exhaust manifold,piston,carburetor,flywheel,camshaft
Injury:black eye,sun burn,cut,broken bone,burn,scratch,lump,fracture,swelling,splinter,blister,scrape,dislocation,bruise,sprain
Building Material:particle board,wood,floor tile,metal lath,wood shingle,ceiling tile,flooring,foam insulation,cement,fiberglass insulation,asphalt shingle,plaster,plywood,perforated hardboard,plasterboard
Imaginary People and Animal:spirit,phoenix,dragon,robot,vampire,mermaid,unicorn,snowman,Martian,capricorn,sphinx,werewolf,abominable snowman,ogre,android
Criminal:spy,terrorist,thief,murderer,burglar,robber,vandal,smuggler,hijacker,mugger,kidnapper,pickpocket,arsonist,shoplifter,blackmailer
Words Ending in less:nevertheless,homeless,endless,useless,restless,helpless,hopeless,fearless,careless,doubtless,tasteless,senseless,colorless,lifeless,sightless
Set theory:set,member,class,union,limit,element,pair,universe,partition,complement,subset,tuple,cardinality,superset,poset,powerset
Complexity:hard,easy,direct,clear,simple,basic,complex,plain,pure,obvious,fancy,bare,complicated,elaborate,intricate,convoluted
Wood Burning Stove:poker,air inlet control,log carrier,log tongs,loading door,chimney pipe,trim collar,flue pipe,chimney pipe elbow,ash lid,pothole lid,broom,shovel,flue damper,firebox,baffle
Temperature:hot,cool,cold,warm,burning,chill,freezing,icy,molten,frosty,sizzling,blistering,searing,frigid,scalding,nippy
Dinner Table:glass,cup,salt,plate,sugar,bowl,dish,knife,pepper,salad,fork,mug,spoon,pitcher,saucer,napkin
Sewing:safety pins,pattern,tape measure,buttons,pin cushion,tracing wheel,cloth,skirt marker,pins,magnet,needles,needle threader,zipper,scissor,pinking shears,thimble
Ship:submarine,kayak,barge,tanker,galley,dugout,outrigger,gondola,rafts,hovercraft,icebreaker,tugboat,motorboat,rowboat,dredger,sampan
Airport:check in,time difference,departure time,time zones,boarding time,security check,body check,personal effects,baggage claim check,customs officer,boarding pass,immigration counter,visa,departure lounge,customs declaration,customs,passport
Dinnerware:gravy boat and stand,water pitcher,cup,tea cup,fish platter,serving bowl,coffee mug,sugar bowl,salad plate,soup bowl,butter dish,salad bowl,salt shaker,rim soup bowl,pepper shaker,platter,saucer
Hair:black hair,red hair,brown hair,straight hair,gray hair,auburn hair,blond hair,kinky hair,curly hair,wavy hair,permanent,beard,bangs,mustache,ponytail,pigtails,sideburns
Collection:group,mass,draw,capture,collect,cluster,aggregate,gather,unite,herd,assemble,pluck,corral,stockpile,cull,hoard,amass
Family:son,mother,father,brother,daughter,sister,uncle,aunt,cousin,grandmother,nephew,grandson,niece,granddaughter,stepmother,stepson,stepdaughter
Fortification:keep,station,fort,tower,castle,canal,bunker,outpost,citadel,turret,bastion,moat,watchtower,palisade,stockade,drawbridge,redoubt
Cowboy:brand,horse,gun,gun belt,cowboy hat,cowboy boots,ranch,bullet,rifle,saddle,rodeo,pistol,herd,holster,stampede,corral,lasso
Measurement:foot,inch,meter,mile,yard,pound,ton,grams,gallon,ounces,quart,pint,kilometer,kilograms,millimeter,centimeter,lier
Destrcution:break,split,crack,crash,destroy,scratch,squash,crush,smash,melt,erase,wreck,explode,splinter,shatter,demolish,detonate
Test:study for,take an exam,get through,test,ID card,test paper,pass,answer sheet,grade,fail,examination,examine,cheat,pencil,examiner,proctor,eraser,retake
Weapon:bow and arrow,club,land mine,hand grenade,stone,gun,tank,nuclear bomb,knife,bomb,atomic bomb,sword,cannon,missile,rifle,spear,revolver,blowgun
Swimming:water,life guard,deep end,shallow end,diving board,lake,turn,river,dog paddle,swimming pool,ocean,swimming lane,diving,synchronized swimming,butterfly,crawl,backstroke,breaststroke
Adverb:never,almost never,almost,simply,recently,hardly ever,sometimes,generally,frequently,nearly,normally,regularly,partly,merely,hardly,rarely,seldom,scarcely
Beef:T bone,short ribs,chuck short rib,cross rib,rib eye,plate,neck,wing,sirloin tip,shoulder,blade,strip loin,shank,flank,tenderloin,sirloin,brisket,porterhouse
Speed:fast,quick,late,express,instant,slow,immediate,rapid,prompt,swift,lazy,speedy,agile,sluggish,hasty,nimble,spry,poky
Pasta Type:stars,wheels,thin spaghetti,thin macaroni,alphabet,shells,spaghetti,elbow macaroni,bows,noodles,curly lasagna,ribbed macaroni,lasagna,ravioli,turrets,tortellini,vermicelli,cappelletti
Sound:soft,quiet,silent,loud,gentle,piercing,noisy,faint,mute,roaring,booming,grating,rowdy,thundering,muffled,hushed,deafening,blaring
Downtown:garbage can,news stand,car,department store,street sign,shop window,street light,neon sign,traffic light,traffic island,bus stop,train station,bus,subway station,parking meter,taxi stand,litter basket,pedestrian crossing,billboard
History:time,date,history,age,journal,archive,calendar,culture,classic,century,biography,era,manuscript,mythology,chronology,epoch,artifact,antiquity,provenance
Size:long,big,small,little,large,short,average,wide,huge,medium,flat,broad,massive,tiny,giant,tall,miniature,immense,humongous
Gardening:water,sell,cover,sort,plant,pick,mix,thin,spray,tie,gather,transplant,rake,hoe,sow,plow,shovel,mulch,fertilize
Metal:gold,silver,lead,steel,iron,mercury,platinum,copper,brass,aluminum,tin,bronze,chrome,titanium,nickel,zinc,alloy,aluminium,tungsten
Fire:light,char,burn,bake,torch,toast,roast,melt,blaze,blister,ignite,broil,sear,scorch,kindle,singe,smolder,parch,swelter
Wood:oak,pine,cherry,maple,cedar,ash,walnut,bamboo,birch,mahogany,hickory,spruce,beech,fir,teak,poplar,acacia,sycamore,cocobolo
